actively_homeless,date(mmm-yy)
2408,Jan-18
2491,Feb-18
2826,Mar-18
3170,Apr-18
3694,May-18
3947,Jun-18
3725,Jul-18
3602,Aug-18
3304,Sep-18
3142,Oct-18
3249,Nov-18
3294,Dec-18
3309,Jan-19
3202,Feb-19
3171,Mar-19
3219,Apr-19
3323,May-19
3392,Jun-19
3286,Jul-19
3153,Aug-19
3094,Sep-19
3189,Oct-19
3133,Nov-19
3229,Dec-19
2941,Jan-20
2902,Feb-20
2787,Mar-20
2452,Apr-20
2172,May-20
1917,Jun-20
1643,Jul-20
1487,Aug-20
1412,Sep-20
1215,Oct-20
1096,Nov-20
1024,Dec-20
995,Jan-21
996,Feb-21
961,Mar-21
939,Apr-21
939,May-21
998,Jun-21
1014,Jul-21
995,Aug-21
1149,Sep-21
1301,Oct-21
1349,Nov-21
1530,Dec-21
1726,Jan-22
1833,Feb-22
2099,Mar-22
2263,Apr-22
2379,May-22
2449,Jun-22
2638,Jul-22
2813,Aug-22
2976,Sep-22
3109,Oct-22
3185,Nov-22
3530,Dec-22
