date,gender,number
2018-01-01,male,1219
2018-01-01,female,1177
2018-01-01,non_binary,12
2018-02-01,male,1264
2018-02-01,female,1214
2018-02-01,non_binary,13
2018-03-01,male,1416
2018-03-01,female,1392
2018-03-01,non_binary,18
2018-04-01,male,1562
2018-04-01,female,1590
2018-04-01,non_binary,18
2018-05-01,male,1802
2018-05-01,female,1876
2018-05-01,non_binary,16
2018-06-01,male,1933
2018-06-01,female,1998
2018-06-01,non_binary,16
2018-07-01,male,1823
2018-07-01,female,1886
2018-07-01,non_binary,16
2018-08-01,male,1765
2018-08-01,female,1824
2018-08-01,non_binary,13
2018-09-01,male,1657
2018-09-01,female,1636
2018-09-01,non_binary,11
2018-10-01,male,1596
2018-10-01,female,1534
2018-10-01,non_binary,12
2018-11-01,male,1663
2018-11-01,female,1576
2018-11-01,non_binary,10
2018-12-01,male,1676
2018-12-01,female,1608
2018-12-01,non_binary,10
2019-01-01,male,1676
2019-01-01,female,1620
2019-01-01,non_binary,13
2019-02-01,male,1593
2019-02-01,female,1597
2019-02-01,non_binary,12
2019-03-01,male,1587
2019-03-01,female,1571
2019-03-01,non_binary,13
2019-04-01,male,1605
2019-04-01,female,1600
2019-04-01,non_binary,14
2019-05-01,male,1676
2019-05-01,female,1634
2019-05-01,non_binary,13
2019-06-01,male,1714
2019-06-01,female,1663
2019-06-01,non_binary,15
2019-07-01,male,1695
2019-07-01,female,1580
2019-07-01,non_binary,11
2019-08-01,male,1589
2019-08-01,female,1554
2019-08-01,non_binary,10
2019-09-01,male,1565
2019-09-01,female,1519
2019-09-01,non_binary,10
2019-10-01,male,1619
2019-10-01,female,1559
2019-10-01,non_binary,11
2019-11-01,male,1574
2019-11-01,female,1549
2019-11-01,non_binary,10
2019-12-01,male,1602
2019-12-01,female,1616
2019-12-01,non_binary,11
2020-01-01,male,1829
2020-01-01,female,1849
2020-01-01,non_binary,12
2020-02-01,male,1796
2020-02-01,female,1844
2020-02-01,non_binary,14
2020-03-01,male,1729
2020-03-01,female,1758
2020-03-01,non_binary,11
2020-04-01,male,1547
2020-04-01,female,1568
2020-04-01,non_binary,9
2020-05-01,male,1368
2020-05-01,female,1359
2020-05-01,non_binary,9
2020-06-01,male,1213
2020-06-01,female,1180
2020-06-01,non_binary,13
2020-07-01,male,1115
2020-07-01,female,1035
2020-07-01,non_binary,16
2020-08-01,male,990
2020-08-01,female,924
2020-08-01,non_binary,15
2020-09-01,male,917
2020-09-01,female,814
2020-09-01,non_binary,15
2020-10-01,male,799
2020-10-01,female,678
2020-10-01,non_binary,15
2020-11-01,male,703
2020-11-01,female,582
2020-11-01,non_binary,14
2020-12-01,male,662
2020-12-01,female,531
2020-12-01,non_binary,13
2021-01-01,male,646
2021-01-01,female,482
2021-01-01,non_binary,13
2021-02-01,male,618
2021-02-01,female,470
2021-02-01,non_binary,14
2021-03-01,male,603
2021-03-01,female,459
2021-03-01,non_binary,13
2021-04-01,male,534
2021-04-01,female,395
2021-04-01,non_binary,10
2021-05-01,male,534
2021-05-01,female,396
2021-05-01,non_binary,9
2021-06-01,male,549
2021-06-01,female,439
2021-06-01,non_binary,10
2021-07-01,male,556
2021-07-01,female,446
2021-07-01,non_binary,11
2021-08-01,male,541
2021-08-01,female,444
2021-08-01,non_binary,10
2021-09-01,male,613
2021-09-01,female,525
2021-09-01,non_binary,11
2021-10-01,male,691
2021-10-01,female,599
2021-10-01,non_binary,11
2021-11-01,male,715
2021-11-01,female,624
2021-11-01,non_binary,10
2021-12-01,male,798
2021-12-01,female,718
2021-12-01,non_binary,14
2022-01-01,male,895
2022-01-01,female,816
2022-01-01,non_binary,15
2022-02-01,male,959
2022-02-01,female,858
2022-02-01,non_binary,16
2022-03-01,male,1082
2022-03-01,female,1003
2022-03-01,non_binary,14
2022-04-01,male,1169
2022-04-01,female,1079
2022-04-01,non_binary,15
2022-05-01,male,1243
2022-05-01,female,1126
2022-05-01,non_binary,10
2022-06-01,male,1281
2022-06-01,female,1156
2022-06-01,non_binary,12
2022-07-01,male,1362
2022-07-01,female,1264
2022-07-01,non_binary,12
2022-08-01,male,1465
2022-08-01,female,1333
2022-08-01,non_binary,15
2022-09-01,male,1522
2022-09-01,female,1437
2022-09-01,non_binary,17
2022-10-01,male,1600
2022-10-01,female,1491
2022-10-01,non_binary,18
2022-11-01,male,1656
2022-11-01,female,1512
2022-11-01,non_binary,17
2022-12-01,male,1869
2022-12-01,female,1643
2022-12-01,non_binary,18
